School ID,Name,SEMIS,GPS,Tehsil,UnionCouncil
1847,GBPS : SAIN BUX LAGHARI,401050134,"24.8836225551682, 68.802632240604",Talhar,Talhar-Tc
1849,GBPS : AHMED HALEPOTO,401050167,"24.925932368607, 68.8355831824236",Talhar,Talhar-Tc
1850,GBPS : MUREED HALEPOTO,401050168,"24.9270998908616, 68.82650792847",Talhar,Talhar-Tc
1851,GBPS : SIDDIQUE SOOMRO,401050186,"24.8978864415272, 68.8180334830296",Talhar,Talhar-Tc
1853,GBPS : NIM DARS @ GH. MUHAMMAD JUNEJO,401050188,"24.8633972873753, 68.8191479450462",Talhar,Talhar-Tc
1854,GBPS : PIR FAQEER MUHAMMAD SHAH,401050247,"24.9107412873562, 68.8149502836677",Talhar,Talhar-Tc
1855,GBPS : HAMID SOOMRO,401050248,"24.9049441493796, 68.8195261357725",Talhar,Talhar-Tc
2052,GBPS : MUHAMMAD IBRAHIM JUNEJO,401030535,"24.9833136012961, 68.8045661330605",Matli,Haji Sawan
2057,GBPS : VIKIO MALLAH,401030587,"24.9784443408849, 68.7980166216329",Matli,Haji Sawan
2468,GBPS : RAJO RABARI @ FATEH KHAN LAGHARI,401050263,"24.8625211475682, 68.8028763231636",Talhar,Talhar-Tc
2471,GBHSS : TALHAR,401050303,"24.8853561512157, 68.813064694206",Talhar,Talhar-Tc
2472,GGHSS : TALHAR,401050304,"24.8855410040263, 68.8143199634568",Talhar,Talhar-Tc
2510,GBPS : DADKI,401050094,"24.7966961858907, 68.7570816279451",Talhar,Haji Muhammad Ashraf Thebo
2568,GBPS : SOOMAR JUNEJO,401050031,"24.9240180609639, 68.8888773278906",Talhar,Saeed Pur
2571,GBPS : MURAD KHAN TALPUR,401050039,"24.9023360289105, 68.9047023721514",Talhar,Saeed Pur
2572,GBPS : ALLAH YAR KHOSO,401050041,"24.920758668164, 68.9287966480854",Talhar,Mir Sahib Ahsan Khan Talpur
2574,GGPS : MURAD KHAN TALPUR,401050057,"24.9024127849786, 68.9049424246445",Talhar,Saeed Pur
2575,GGPS : JAMAN KHOSO,401050063,"24.9122945406082, 68.9194934076069",Talhar,Mir Sahib Ahsan Khan Talpur
2577,GGPS : ABDULLAH KHASKHELI,401050066,"24.9063880687491, 68.9758278375386",Talhar,Mir Sahib Ahsan Khan Talpur
2578,GGPS : KHABAR JAMALI,401050069,"24.8835239258463, 68.8026389474672",Talhar,Mir Sahib Ahsan Khan Talpur
2581,GGPS : SOOMAR JUNEJO,401050078,"24.9241932364565, 68.8886010663703",Talhar,Saeed Pur
2593,GBPS : HAJI ABDULLAH TALPUR@USMAN MALLAH,401050177,"24.9278940554677, 68.8648179176945",Talhar,Saeed Pur
2594,GBPS : ISMAIL MEMON@SAWAN DHTO,401050178,"24.8784105654495, 68.9086626482503",Talhar,Mir Sahib Ahsan Khan Talpur
2601,GBPS : HALO THEBO,401050190,"24.9011585900179, 68.8593399377535",Talhar,Saeed Pur
2609,GBPS : AHMED MACHHI,401050199,"24.922942964233, 68.922300336461",Talhar,Saeed Pur
2610,GBPS : AHMED SAHTO,401050201,"24.9350071765093, 68.8804605548599",Talhar,Saeed Pur
2611,GBPS : ARBAB ALI MALLAH,401050202,"24.92566, 68.875765",Talhar,Saeed Pur
2612,GBPS : JAMALUDDIN HAJANOO,401050205,"24.9199387301133, 68.8990536337096",Talhar,Saeed Pur
2613,GBPS : GUL MUHAMMAD BEHRANI,401050206,"24.9258410834621, 68.9006294264908",Talhar,Saeed Pur
2614,GBPS : MUHAMMAD RAMZAN KHOSO,401050208,"24.9356468825377, 68.9220643047491",Talhar,Saeed Pur
2615,GBPS : LAKHA DINO PITAFI @ SULLEMAN RAHOOK,401050209,"24.9349074897566, 68.924075958233",Talhar,Saeed Pur
2617,GBPS : KANDERO MALLAH,401050214,"24.9424, 68.907829",Talhar,Saeed Pur
2618,GBPS : KHUDA BUX KHOSO,401050216,"24.947308562227, 68.9470437148221",Talhar,Saeed Pur
2619,GBPS : RAMZAN HULLIO,401050220,"24.9418074169444, 68.9552405482529",Talhar,Mir Sahib Ahsan Khan Talpur
2620,GBPS : AKRAM DAL,401050221,"24.917901, 68.973281",Talhar,Mir Sahib Ahsan Khan Talpur
2621,GBPS : GANHWAR JAMALI,401050222,"24.919092387694, 68.9618521869699",Talhar,Mir Sahib Ahsan Khan Talpur
2622,GBPS : ALLAH BACHAYO JAMALI,401050225,"24.9516179837633, 68.9560425230878",Talhar,Mir Sahib Ahsan Khan Talpur
2623,GBPS : ARIF SAMOON,401050228,"24.9326212334903, 68.8988390607621",Talhar,Saeed Pur
2624,GBPS : HAJI KAMIL SAHTO,401050237,"24.9355883901566, 68.8845026482645",Talhar,Saeed Pur
2625,GBPS : EIDO KHASKHELI @ JUMOON SHEEDI,401050239,"24.9287916330619, 68.9552673691017",Talhar,Mir Sahib Ahsan Khan Talpur
2629,GBPS : HAJI KALOO KHOSO,401050243,"24.9302485183272, 68.9150570334494",Talhar,Saeed Pur
2632,GBPS : DANG JI WASI,401050249,"24.9164141157405, 68.8900279989842",Talhar,Saeed Pur
2634,GBPS : ABDULLAH KHASKHELI,401050254,"24.9066774578255, 68.9754201435558",Talhar,Mir Sahib Ahsan Khan Talpur
2635,GBPS : DHABARO,401050256,"24.9212888333473, 68.9485189322629",Talhar,Mir Sahib Ahsan Khan Talpur
2636,GBPS : ESSA BHURGRI,401050264,"24.9542637811512, 68.897825178505",Talhar,Saeed Pur
2637,GBPS : KHAIR MUHAMMED KHOSO,401050265,"24.9461752955825, 68.9360439709845",Talhar,Saeed Pur
2639,GBLSS : AHMED DETHO,401050279,"24.9256988608416, 68.9315861466526",Talhar,Mir Sahib Ahsan Khan Talpur
2640,GBPS : ALI NAWAZ BHURGRI,401050281,"24.9589156624165, 68.8971975403045",Talhar,Saeed Pur
2641,GBPS : URIS QAMBRANI,401050282,"24.940574285023, 68.9596661864738",Talhar,Mir Sahib Ahsan Khan Talpur
2644,GBLSS : MURAD KHAN TALPUR,401050292,"24.9071700232786, 68.9040532633687",Talhar,Saeed Pur
2646,GBHS : SAEED PUR,401050302,"24.9128968940064, 68.8594508173068",Talhar,Saeed Pur
